endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,left,right,social_left,WTP_ITI,leftmoney,rightmoney,greenText,left_more_than_right,matching_prices,social_worthmore,Resume_keys.keys,Resume_keys.rt,key_resp.rt,end_screen_keys.keys,end_screen_keys.rt
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,space,10.3347,NAN,,NAN,0.32,5.68,,0,18,18,18,1,19,Alex,Acc,Participant_Images/101/101_Images/101_Image_22.jpeg,did not like,2.7105123,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,,,,,,,,,,,,,,,,,,,,space,4.4965,space,0.1878,,,,0,0,0,0,1,four_1,four_1,0,5,0.01,0.02,green,0,0,1,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,four_2,four_2,0,1,0.02,0.02,green,0,1,1,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,four_3,four_3,0,2,0.03,0.02,green,1,0,0,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,four_4,four_4,0,4,0.04,0.02,green,1,0,0,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,1,four_5,four_5,0,3,0.05,0.02,green,1,0,0,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,,,NAN,,NAN,0.32,5.68,,0,19,19,19,1,20,Alex,Acc,Participant_Images/101/101_Images/101_Image_12.jpeg,did not like,3.602308302,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,space,5.3124,NAN,,NAN,0.32,5.68,,0,20,20,20,1,21,Alex,Acc,Participant_Images/101/101_Images/101_Image_15.jpeg,liked,4.106391878,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,space,3.8617,NAN,,NAN,0.32,5.68,,0,21,21,21,1,22,Alex,Acc,Participant_Images/101/101_Images/101_Image_19.jpeg,liked,3.799433026,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,space,11.2585,NAN,,NAN,0.32,5.68,,0,22,22,22,1,23,Alex,Acc,Participant_Images/101/101_Images/101_Image_18.jpeg,liked,5.246980764,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,space,9.8729,NAN,,NAN,0.32,5.68,,0,23,23,23,1,24,Alex,Acc,Participant_Images/101/101_Images/101_Image_6.jpeg,liked,3.30081769,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,,,,,,,,,,,,,,,,,,,,space,5.538,space,0.4537,,,,0,0,0,0,1,five_1,five_1,0,4,0.01,0.01,green,0,1,1,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,five_2,five_2,0,5,0.02,0.01,green,1,0,0,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,five_3,five_3,0,6,0.03,0.01,green,1,0,0,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,five_4,five_4,0,1,0.04,0.01,green,1,0,0,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,1,five_5,five_5,0,2,0.05,0.01,green,1,0,0,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,,,3,space,5,0.32,5.68,,0,24,24,24,1,25,Alex,Acc,Participant_Images/101/101_Images/101_Image_11.jpeg,did not like,1.661473164,,,,,,,,,,,,,,,,,,,,,,,space,149.7467,2.2814,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,space,3.6798,space,1.721,NAN,,NAN,0.32,5.68,,0,25,25,25,1,26,Riley,Acc,Participant_Images/101/101_Images/101_Image_20.jpeg,liked,3.613205605,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,space,19.6447,NAN,,NAN,0.32,5.68,,0,26,26,26,1,27,Riley,Acc,Participant_Images/101/101_Images/101_Image_22.jpeg,liked,3.470791822,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,space,10.1026,NAN,,NAN,0.32,5.68,,0,27,27,27,1,28,Riley,Acc,Participant_Images/101/101_Images/101_Image_25.jpeg,did not like,2.455989137,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,space,123.5393,NAN,,NAN,0.32,5.68,,0,28,28,28,1,29,Riley,Acc,Participant_Images/101/101_Images/101_Image_12.jpeg,liked,3.79605092,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,,,,,,,,,,,,,,,,,,,,space,1.1911,space,0.2657,,,,0,0,0,0,1,six_1,six_1,0,5,0.01,0.02,green,0,0,1,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,six_2,six_2,0,1,0.02,0.02,green,0,1,1,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,six_3,six_3,0,2,0.03,0.02,green,1,0,0,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,2,1.7581,0,3,3,3,1,six_4,six_4,0,4,0.04,0.02,green,1,0,0,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,0.8793,0,4,4,4,1,six_5,six_5,0,3,0.05,0.02,green,1,0,0,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,,,NAN,,NAN,0.39,5.61,,0,29,29,29,1,30,Riley,Acc,Participant_Images/101/101_Images/101_Image_9.jpeg,did not like,3.562416326,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,space,0.5298,NAN,,NAN,0.39,5.61,,0,30,30,30,1,31,Riley,Acc,Participant_Images/101/101_Images/101_Image_5.jpeg,liked,2.843822497,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,space,0.4421,NAN,,NAN,0.39,5.61,,0,31,31,31,1,32,Riley,Acc,Participant_Images/101/101_Images/101_Image_14.jpeg,liked,3.546495948,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,space,0.4551,NAN,,NAN,0.39,5.61,,0,32,32,32,1,33,Riley,Acc,Participant_Images/101/101_Images/101_Image_18.jpeg,did not like,1.672012706,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,space,0.7051,NAN,,NAN,0.39,5.61,,0,33,33,33,1,34,Riley,Acc,Participant_Images/101/101_Images/101_Image_10.jpeg,liked,4.942172136,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,,,,,,,,,,,,,,,,,,,,space,0.4596,space,0.2585,0.01,1,0.8262,0,0,0,0,1,seven_1,seven_1,0,4,0.01,0.01,green,0,1,1,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,2,6.3745,0,1,1,1,1,seven_2,seven_2,0,5,0.02,0.01,green,1,0,0,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,2,3.6351,0,2,2,2,1,seven_3,seven_3,0,6,0.03,0.01,green,1,0,0,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,2,1.0214,0,3,3,3,1,seven_4,seven_4,0,1,0.04,0.01,green,1,0,0,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,1,seven_5,seven_5,0,2,0.05,0.01,green,1,0,0,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,,,NAN,,NAN,0.43,5.57,,0,34,34,34,1,35,Riley,Acc,Participant_Images/101/101_Images/101_Image_16.jpeg,liked,2.50187214,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,space,1.1132,NAN,,NAN,0.43,5.57,,0,35,35,35,1,36,Riley,Acc,Participant_Images/101/101_Images/101_Image_23.jpeg,liked,2.642157193,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,space,3.7245,NAN,,NAN,0.43,5.57,,0,36,36,36,1,37,Riley,Acc,Participant_Images/101/101_Images/101_Image_4.jpeg,liked,4.456234322,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_16h33.36.654,WTP_SM_Choice,2022.2.1,MacIntel,114.9425287,,,,,space,37.114,NAN,,NAN,0.43,5.57,,0,37,37,37,1,38,Riley,Acc,Participant_Images/101/101_Images/101_Image_24.jpeg,liked,4.438512181,,,,,,,,,,,,,,,,,,,,,,,,,,,
