endwelcomescreen_keys.keys,endwelcomescreen_keys.rt,participant,date,expName,psychopyVersion,OS,frameRate,endinstructionscreen_keys.keys,endinstructionscreen_keys.rt,endpartnermatch_keys.keys,endpartnermatch_keys.rt,sharenextphoto_key.keys,sharenextphoto_key.rt,salience_rating,key_resp.keys,stress_level,subtract_bonus,TOTAL_TASK_BONUS,stresslevel_keypress.keys,entiretaskloop.thisRepN,entiretaskloop.thisTrialN,entiretaskloop.thisN,entiretaskloop.thisIndex,entiretaskloop.ran,TrialNumber,Partner,Condition,Photos,Feedback,FeedbackWait,WTP_ins_keys1.keys,WTP_ins_keys1.rt,WTP_ins_keys2.keys,WTP_ins_keys2.rt,decision_price,responses.keys,responses.rt,WTPTaskLoop.thisRepN,WTPTaskLoop.thisTrialN,WTPTaskLoop.thisN,WTPTaskLoop.thisIndex,WTPTaskLoop.ran,left,right,social_left,WTP_ITI,leftmoney,rightmoney,greenText,left_more_than_right,matching_prices,social_worthmore,Resume_keys.keys,Resume_keys.rt,key_resp.rt
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,,,,,,,,,,,,,,,,,,space,2.1179,space,0.4673,0.01,1,4.5363,0,0,0,0,1,five_1,five_1,0,4,0.01,0.01,green,0,1,1,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,1,5.463,0,1,1,1,1,five_2,five_2,0,5,0.02,0.01,green,1,0,0,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,1,1.7162,0,2,2,2,1,five_3,five_3,0,6,0.03,0.01,green,1,0,0,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,1,3.225,0,3,3,3,1,five_4,five_4,0,1,0.04,0.01,green,1,0,0,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,5.4454,0,4,4,4,1,five_5,five_5,0,2,0.05,0.01,green,1,0,0,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,NAN,space,5,0.28,5.72,,0,24,24,24,1,25,Alex,Acc,Participant_Images/101/101_Images/101_Image_11.jpeg,did not like,1.661473164,,,,,,,,,,,,,,,,,,,,,,,space,1.7414,0.2757
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,space,10.1295,space,3.8032,NAN,,NAN,0.28,5.72,,0,25,25,25,1,26,Riley,Acc,Participant_Images/101/101_Images/101_Image_20.jpeg,liked,3.613205605,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,space,2.5888,NAN,,NAN,0.28,5.72,,0,26,26,26,1,27,Riley,Acc,Participant_Images/101/101_Images/101_Image_22.jpeg,liked,3.470791822,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,space,0.1338,NAN,,NAN,0.28,5.72,,0,27,27,27,1,28,Riley,Acc,Participant_Images/101/101_Images/101_Image_25.jpeg,did not like,2.455989137,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,space,4.4912,NAN,,NAN,0.28,5.72,,0,28,28,28,1,29,Riley,Acc,Participant_Images/101/101_Images/101_Image_12.jpeg,liked,3.79605092,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,,,,,,,,,,,,,,,,,,space,1.7435,space,0.2838,0.01,1,1.1158,0,0,0,0,1,six_1,six_1,0,5,0.01,0.02,green,0,0,1,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,1,1.5949,0,1,1,1,1,six_2,six_2,0,1,0.02,0.02,green,0,1,1,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,1,1.874,0,2,2,2,1,six_3,six_3,0,2,0.03,0.02,green,1,0,0,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,1,2.3636,0,3,3,3,1,six_4,six_4,0,4,0.04,0.02,green,1,0,0,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,3.0235,0,4,4,4,1,six_5,six_5,0,3,0.05,0.02,green,1,0,0,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,NAN,,NAN,0.43,5.57,,0,29,29,29,1,30,Riley,Acc,Participant_Images/101/101_Images/101_Image_9.jpeg,did not like,3.562416326,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,space,1.9506,NAN,,NAN,0.43,5.57,,0,30,30,30,1,31,Riley,Acc,Participant_Images/101/101_Images/101_Image_5.jpeg,liked,2.843822497,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,space,6.0594,NAN,,NAN,0.43,5.57,,0,31,31,31,1,32,Riley,Acc,Participant_Images/101/101_Images/101_Image_14.jpeg,liked,3.546495948,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,space,2.6366,NAN,,NAN,0.43,5.57,,0,32,32,32,1,33,Riley,Acc,Participant_Images/101/101_Images/101_Image_18.jpeg,did not like,1.672012706,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,space,0.415,NAN,,NAN,0.43,5.57,,0,33,33,33,1,34,Riley,Acc,Participant_Images/101/101_Images/101_Image_10.jpeg,liked,4.942172136,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,,,,,,,,,,,,,,,,,,space,0.9505,space,0.2887,0.01,1,1.0843,0,0,0,0,1,seven_1,seven_1,0,4,0.01,0.01,green,0,1,1,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,1,1.6784,0,1,1,1,1,seven_2,seven_2,0,5,0.02,0.01,green,1,0,0,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,1,2.105,0,2,2,2,1,seven_3,seven_3,0,6,0.03,0.01,green,1,0,0,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1,seven_4,seven_4,0,1,0.04,0.01,green,1,0,0,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,1,seven_5,seven_5,0,2,0.05,0.01,green,1,0,0,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,NAN,,NAN,0.49,5.51,,0,34,34,34,1,35,Riley,Acc,Participant_Images/101/101_Images/101_Image_16.jpeg,liked,2.50187214,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,space,5.5181,NAN,,NAN,0.49,5.51,,0,35,35,35,1,36,Riley,Acc,Participant_Images/101/101_Images/101_Image_23.jpeg,liked,2.642157193,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,space,0.3779,NAN,,NAN,0.49,5.51,,0,36,36,36,1,37,Riley,Acc,Participant_Images/101/101_Images/101_Image_4.jpeg,liked,4.456234322,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,space,1.5011,NAN,,NAN,0.49,5.51,,0,37,37,37,1,38,Riley,Acc,Participant_Images/101/101_Images/101_Image_24.jpeg,liked,4.438512181,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,space,3.7475,NAN,,NAN,0.49,5.51,,0,38,38,38,1,39,Riley,Acc,Participant_Images/101/101_Images/101_Image_15.jpeg,liked,2.682944783,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,,,,,,,,,,,,,,,,,,space,1.464,space,0.3068,0.01,1,0.9956,0,0,0,0,1,eight_1,eight_1,0,5,0.01,0.02,green,0,0,1,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,1,5.2172,0,1,1,1,1,eight_2,eight_2,0,1,0.02,0.02,green,0,1,1,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,1,3.4378,0,2,2,2,1,eight_3,eight_3,0,2,0.03,0.02,green,1,0,0,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,1,9.5482,0,3,3,3,1,eight_4,eight_4,0,4,0.04,0.02,green,1,0,0,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,3.2027,0,4,4,4,1,eight_5,eight_5,0,3,0.05,0.02,green,1,0,0,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,NAN,,NAN,0.64,5.36,,0,39,39,39,1,40,Riley,Acc,Participant_Images/101/101_Images/101_Image_6.jpeg,liked,4.51984296,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,space,0.4175,NAN,,NAN,0.64,5.36,,0,40,40,40,1,41,Riley,Acc,Participant_Images/101/101_Images/101_Image_19.jpeg,liked,3.195382774,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,space,411.3308,NAN,,NAN,0.64,5.36,,0,41,41,41,1,42,Riley,Acc,Participant_Images/101/101_Images/101_Image_3.jpeg,did not like,1.779333479,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,space,35.2257,NAN,,NAN,0.64,5.36,,0,42,42,42,1,43,Riley,Acc,Participant_Images/101/101_Images/101_Image_7.jpeg,liked,4.312468682,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,space,327.0072,NAN,,NAN,0.64,5.36,,0,43,43,43,1,44,Riley,Acc,Participant_Images/101/101_Images/101_Image_8.jpeg,did not like,4.940433059,,,,,,,,,,,,,,,,,,,,,,,,,
,,101,2024-05-21_15h20.46.422,WTP_SM_Choice,2022.2.1,MacIntel,126.5822785,,,,,,,,,,,,,,,,,,,,,,,,space,947.53,space,0.5108,0.01,1,0.8641,0,0,0,0,1,nine_1,nine_1,0,4,0.01,0.01,green,0,1,1,,,
